model_id,test,outcome,classification_definition,denominator,term,estimate,std_error,statistic,p_value,ci_low,ci_high,n_obs,r_squared,model_f_statistic_classical,nw_lag,inference,sample_dates
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_04,4.87105806,27.20954554,0.17902019,0.85792185,-48.45965120,58.20176732,84,0.49486175,4.82830498,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_05,-16.38429259,20.82739021,-0.78667046,0.43147480,-57.20597740,24.43739222,84,0.49486175,4.82830498,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_06,18.35378861,31.24990218,0.58732307,0.55698675,-42.89601966,79.60359688,84,0.49486175,4.82830498,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_07,-17.06954444,26.33393046,-0.64819585,0.51685829,-68.68404814,34.54495926,84,0.49486175,4.82830498,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_08,-25.43112220,25.83618992,-0.98432169,0.32495737,-76.07005444,25.20781005,84,0.49486175,4.82830498,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_09,-17.53654232,30.03224479,-0.58392379,0.55927158,-76.39974211,41.32665747,84,0.49486175,4.82830498,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_10,1.19547598,27.28550345,0.04381359,0.96505299,-52.28411079,54.67506275,84,0.49486175,4.82830498,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_11,32.57117244,34.43045483,0.94599890,0.34414915,-34.91251902,100.05486390,84,0.49486175,4.82830498,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_12,-40.81503586,34.29950230,-1.18996000,0.23406211,-108.04206038,26.41198866,84,0.49486175,4.82830498,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,Intercept,20.69496218,15.26141762,1.35603144,0.17508916,-9.21741636,50.60734071,84,0.33379640,2.46942436,3,OLS Newey-West HAC,2019-01 through 2025-12
