month,month_start,time,post_july2024,time_after_july2024,month_of_year,all_count,high_sensitivity_count,lower_sensitivity_count,low_strict_count,hs_wes_wgs_sequence_count,hs_s3_direct_count,hs_s3_text_count,hs_o2_field_count,classified_denom_high_lower,high_sensitivity_share_all,low_share_all,index_high_pre_mean,index_lower_pre_mean,index_diff_pre_mean,index_high_2023_mean,index_lower_2023_mean,index_diff_2023_mean
2023-09,2023-09-01,57,0,0,9,57,10,47,11,5,0,5,0,57,0.17543860,0.19298246,126.43678161,106.89179876,19.54498285,118.81188119,87.98751950,30.82436169
2023-10,2023-10-01,58,0,0,10,71,6,65,14,1,0,5,0,71,0.08450704,0.19718310,75.86206897,147.82908339,-71.96701443,71.28712871,121.68486739,-50.39773868
2023-11,2023-11-01,59,0,0,11,80,16,64,20,4,0,12,0,80,0.20000000,0.25000000,202.29885057,145.55478980,56.74406077,190.09900990,119.81279251,70.28621739
2023-12,2023-12-01,60,0,0,12,37,5,32,3,0,0,5,0,37,0.13513514,0.08108108,63.21839080,72.77739490,-9.55900410,59.40594059,59.90639626,-0.50045566
2024-01,2024-01-01,61,0,0,1,75,4,71,20,0,0,4,0,75,0.05333333,0.26666667,50.57471264,161.47484493,-110.90013229,47.52475248,132.91731669,-85.39256422
2024-02,2024-02-01,62,0,0,2,51,6,45,14,2,0,5,0,51,0.11764706,0.27450980,75.86206897,102.34321158,-26.48114261,71.28712871,84.24336973,-12.95624102
2024-03,2024-03-01,63,0,0,3,83,6,77,17,1,0,5,0,83,0.07228916,0.20481928,75.86206897,175.12060648,-99.25853751,71.28712871,144.14976599,-72.86263728
2024-04,2024-04-01,64,0,0,4,72,12,60,10,4,0,9,0,72,0.16666667,0.13888889,151.72413793,136.45761544,15.26652249,142.57425743,112.32449298,30.24976445
2024-05,2024-05-01,65,0,0,5,33,8,25,2,3,0,5,0,33,0.24242424,0.06060606,101.14942529,56.85733977,44.29208552,95.04950495,46.80187207,48.24763288
2024-06,2024-06-01,66,0,0,6,10,1,9,2,1,0,0,0,10,0.10000000,0.20000000,12.64367816,20.46864232,-7.82496415,11.88118812,16.84867395,-4.96748583
2024-07,2024-07-01,67,1,0,7,3,0,3,1,0,0,0,0,3,0.00000000,0.33333333,0.00000000,6.82288077,-6.82288077,0.00000000,5.61622465,-5.61622465
2024-08,2024-08-01,68,1,1,8,0,0,0,0,0,0,0,0,0,,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2024-09,2024-09-01,69,1,2,9,1,0,1,0,0,0,0,0,1,0.00000000,0.00000000,0.00000000,2.27429359,-2.27429359,0.00000000,1.87207488,-1.87207488
2024-10,2024-10-01,70,1,3,10,208,21,187,33,7,0,14,0,208,0.10096154,0.15865385,265.51724138,425.29290145,-159.77566007,249.50495050,350.07800312,-100.57305263
2024-11,2024-11-01,71,1,4,11,156,21,135,29,12,0,9,0,156,0.13461538,0.18589744,265.51724138,307.02963473,-41.51239336,249.50495050,252.73010920,-3.22515871
2024-12,2024-12-01,72,1,5,12,106,16,90,18,9,0,8,0,106,0.15094340,0.16981132,202.29885057,204.68642316,-2.38757258,190.09900990,168.48673947,21.61227043
2025-01,2025-01-01,73,1,6,1,100,13,87,7,6,0,8,0,100,0.13000000,0.07000000,164.36781609,197.86354238,-33.49572629,154.45544554,162.87051482,-8.41506928
2025-02,2025-02-01,74,1,7,2,110,17,93,16,8,0,9,0,110,0.15454545,0.14545455,214.94252874,211.50930393,3.43322481,201.98019802,174.10296412,27.87723390
2025-03,2025-03-01,75,1,8,3,110,13,97,22,6,0,8,0,110,0.11818182,0.20000000,164.36781609,220.60647829,-56.23866220,154.45544554,181.59126365,-27.13581811
2025-04,2025-04-01,76,1,9,4,181,20,161,22,7,0,14,0,181,0.11049724,0.12154696,252.87356322,366.16126809,-113.28770487,237.62376238,301.40405616,-63.78029379
2025-05,2025-05-01,77,1,10,5,126,15,111,17,4,0,11,0,126,0.11904762,0.13492063,189.65517241,252.44658856,-62.79141615,178.21782178,207.80031201,-29.58249023
2025-06,2025-06-01,78,1,11,6,160,26,134,28,10,0,17,0,160,0.16250000,0.17500000,328.73563218,304.75534114,23.98029104,308.91089109,250.85803432,58.05285677
2025-07,2025-07-01,79,1,12,7,191,20,171,24,7,0,13,0,191,0.10471204,0.12565445,252.87356322,388.90420400,-136.03064078,237.62376238,320.12480499,-82.50104262
2025-08,2025-08-01,80,1,13,8,117,17,100,14,8,0,10,0,117,0.14529915,0.11965812,214.94252874,227.42935906,-12.48683033,201.98019802,187.20748830,14.77270972
2025-09,2025-09-01,81,1,14,9,165,24,141,23,11,0,15,0,165,0.14545455,0.13939394,303.44827586,320.67539628,-17.22712042,285.14851485,263.96255850,21.18595635
2025-10,2025-10-01,82,1,15,10,131,21,110,15,7,0,14,0,131,0.16030534,0.11450382,265.51724138,250.17229497,15.34494641,249.50495050,205.92823713,43.57671337
2025-11,2025-11-01,83,1,16,11,169,20,149,26,10,0,10,0,169,0.11834320,0.15384615,252.87356322,338.86974500,-85.99618179,237.62376238,278.93915757,-41.31539519
2025-12,2025-12-01,84,1,17,12,102,10,92,8,2,0,8,0,102,0.09803922,0.07843137,126.43678161,209.23501034,-82.79822873,118.81188119,172.23088924,-53.41900805
