app_id,schema27_title,schema27_institution,schema27_pi,website_match_status,website_match_count,start_date,start_dates_all,website_url,website_urls_all,website_titles_all,match_methods
65814,Leveraging functional genomics resources to improve the power of phenotype prediction -- a new machine learning approach,Beijing Genomics Institute At Shenzhen,Dr Jiang Xiaosen,matched_one_website_record,1,2021-03-01,2021-03-01,https://www.ukbiobank.ac.uk/projects/leveraging-functional-genomics-resources-to-improve-the-power-of-phenotype-prediction-a-new-machine-learning-approach/,https://www.ukbiobank.ac.uk/projects/leveraging-functional-genomics-resources-to-improve-the-power-of-phenotype-prediction-a-new-machine-learning-approach/,Leveraging functional genomics resources to improve the power of phenotype prediction — a new machine learning approach,unique_normalized_title
65833,"Investigating genetic & clinicopathological factors underlying risk, survival and toxicity to treatment in patients with cancer and population controls",Cardiff University,Professor Jeremy Cheadle,matched_one_website_record,1,2020-11-26,2020-11-26,https://www.ukbiobank.ac.uk/projects/investigating-genetic-clinicopathological-factors-underlying-risk-survival-and-toxicity-to-treatment-in-patients-with-cancer-and-population-controls/,https://www.ukbiobank.ac.uk/projects/investigating-genetic-clinicopathological-factors-underlying-risk-survival-and-toxicity-to-treatment-in-patients-with-cancer-and-population-controls/,"Investigating genetic & clinicopathological factors underlying risk, survival and toxicity to treatment in patients with cancer and population controls",unique_normalized_title
65846,Associations between NR3C1 variants and metabolic phenotypes in humans,Cincinnati Children's Hospital Medical Center,Dr Mattia Quattrocelli,matched_one_website_record,1,2021-01-11,2021-01-11,https://www.ukbiobank.ac.uk/projects/associations-between-nr3c1-variants-and-metabolic-phenotypes-in-humans/,https://www.ukbiobank.ac.uk/projects/associations-between-nr3c1-variants-and-metabolic-phenotypes-in-humans/,Associations between NR3C1 variants and metabolic phenotypes in humans,unique_normalized_title
65851,Large-scale proteomic profiling to facilitate genetics-guided drug discovery and precision medicine: The UK Biobank - Pharma Proteomics Project (UKB-PPP),"Pfizer Inc, USA",Dr Christopher Whelan,matched_one_website_record,1,2021-06-08,2021-06-08,https://www.ukbiobank.ac.uk/projects/large-scale-proteomic-profiling-to-facilitate-genetics-guided-drug-discovery-and-precision-medicine-the-uk-biobank-pharma-proteomics-project-ukb-ppp/,https://www.ukbiobank.ac.uk/projects/large-scale-proteomic-profiling-to-facilitate-genetics-guided-drug-discovery-and-precision-medicine-the-uk-biobank-pharma-proteomics-project-ukb-ppp/,Large-scale proteomic profiling to facilitate genetics-guided drug discovery and precision medicine: The UK Biobank – Pharma Proteomics Project (UKB-PPP),unique_normalized_title
65879,Genes and neighbourhood characteristics (support for application #41382),University of Zurich,Dr Pietro Biroli,unmatched_schema27,0,,,,,,
65898,Using UKBB As a Reference Control Population for Genetic Cancer Predisposition,Mayo Clinic,Dr Steven Hart,matched_one_website_record,1,2021-10-13,2021-10-13,https://www.ukbiobank.ac.uk/projects/using-ukbb-as-a-reference-control-population-for-genetic-cancer-predisposition/,https://www.ukbiobank.ac.uk/projects/using-ukbb-as-a-reference-control-population-for-genetic-cancer-predisposition/,Using UKBB As a Reference Control Population for Genetic Cancer Predisposition,unique_normalized_title
65908,"Individual and joint effects of adverse childhood experiences, allostatic load, and genetics on risk of breast cancer",University of Illinois at Chicago,Mrs Debbie Jakubowski,matched_one_website_record,1,2021-03-01,2021-03-01,https://www.ukbiobank.ac.uk/projects/individual-and-joint-effects-of-adverse-childhood-experiences-allostatic-load-and-genetics-on-risk-of-breast-cancer/,https://www.ukbiobank.ac.uk/projects/individual-and-joint-effects-of-adverse-childhood-experiences-allostatic-load-and-genetics-on-risk-of-breast-cancer/,"Individual and joint effects of adverse childhood experiences, allostatic load, and genetics on risk of breast cancer",unique_normalized_title
65912,Stratification-based genetic analyses of type 2 diabetes,King's College London,Ms Colette Christiansen,matched_one_website_record,1,2021-03-09,2021-03-09,https://www.ukbiobank.ac.uk/projects/stratification-based-genetic-analyses-of-type-2-diabetes/,https://www.ukbiobank.ac.uk/projects/stratification-based-genetic-analyses-of-type-2-diabetes/,Stratification-based genetic analyses of type 2 diabetes,unique_normalized_title
65920,An MRI-based technology for early assessment of antidepressant efficacy in depression,VUNO Inc.,Dr Jinkyeong Sung,matched_one_website_record,1,2021-01-11,2021-01-11,https://www.ukbiobank.ac.uk/projects/an-mri-based-technology-for-early-assessment-of-antidepressant-efficacy-in-depression/,https://www.ukbiobank.ac.uk/projects/an-mri-based-technology-for-early-assessment-of-antidepressant-efficacy-in-depression/,An MRI-based technology for early assessment of antidepressant efficacy in depression,unique_normalized_title
65949,Identify risk loci and causal pathways for neurodegneration in worldwide populations,University of Tübingen,Dr Sandeep Grover,matched_one_website_record,1,2021-03-30,2021-03-30,https://www.ukbiobank.ac.uk/projects/identify-risk-loci-and-causal-pathways-for-neurodegneration-in-worldwide-populations/,https://www.ukbiobank.ac.uk/projects/identify-risk-loci-and-causal-pathways-for-neurodegneration-in-worldwide-populations/,Identify risk loci and causal pathways for neurodegneration in worldwide populations,unique_normalized_title
65965,Genomics of heart failure traits,University of Pennsylvania,Professor Thomas Cappola,matched_one_website_record,1,2020-09-22,2020-09-22,https://www.ukbiobank.ac.uk/projects/genomics-of-heart-failure-traits/,https://www.ukbiobank.ac.uk/projects/genomics-of-heart-failure-traits/,Genomics of heart failure traits,unique_normalized_title
65983,New spirometry measures in Normals and COPD,University of Alabama at Birmingham,Dr Surya Bhatt,matched_one_website_record,1,2021-02-04,2021-02-04,https://www.ukbiobank.ac.uk/projects/new-spirometry-measures-in-normals-and-copd/,https://www.ukbiobank.ac.uk/projects/new-spirometry-measures-in-normals-and-copd/,New spirometry measures in Normals and COPD,unique_normalized_title
65996,Predicting APOE genotype based on the demographics and longitudinal cognitive changes: a basis to predict brain amyloid status for the screening of preclinical Alzheimer's disease.,University of Tokyo,Dr Kenichiro Sato,matched_one_website_record,1,2021-02-22,2021-02-22,https://www.ukbiobank.ac.uk/projects/predicting-apoe-genotype-based-on-the-demographics-and-longitudinal-cognitive-changes-a-basis-to-predict-brain-amyloid-status-for-the-screening-of-preclinical-alzheimers-disease/,https://www.ukbiobank.ac.uk/projects/predicting-apoe-genotype-based-on-the-demographics-and-longitudinal-cognitive-changes-a-basis-to-predict-brain-amyloid-status-for-the-screening-of-preclinical-alzheimers-disease/,Predicting APOE genotype based on the demographics and longitudinal cognitive changes: a basis to predict brain amyloid status for the screening of preclinical Alzheimer’s disease.,detail_page_app_id_after_title_unmatched_or_ambiguous
66019,"The association between cumulative estrogen exposure, parity, and stroke occurrence",University of British Columbia,Ms Shie Rinat,matched_one_website_record,1,2022-06-13,2022-06-13,https://www.ukbiobank.ac.uk/projects/the-association-between-cumulative-estrogen-exposure-parity-and-stroke-occurrence/,https://www.ukbiobank.ac.uk/projects/the-association-between-cumulative-estrogen-exposure-parity-and-stroke-occurrence/,"The association between cumulative estrogen exposure, parity, and stroke occurrence",unique_normalized_title
66026,"Understanding determinants of malnutrition, sarcopenia and frailty in people with cancer and their association with mortality.",Deakin University,Dr Nicole Kiss,matched_one_website_record,1,2020-10-26,2020-10-26,https://www.ukbiobank.ac.uk/projects/understanding-determinants-of-malnutrition-sarcopenia-and-frailty-in-people-with-cancer-and-their-association-with-mortality/,https://www.ukbiobank.ac.uk/projects/understanding-determinants-of-malnutrition-sarcopenia-and-frailty-in-people-with-cancer-and-their-association-with-mortality/,"Understanding determinants of malnutrition, sarcopenia and frailty in people with cancer and their association with mortality.",unique_normalized_title
66035,The association between genetic determinants of blood pressure and cognitive decline,University of New South Wales,Dr Matthew Lennon,matched_one_website_record,1,2021-05-04,2021-05-04,https://www.ukbiobank.ac.uk/projects/the-association-between-genetic-determinants-of-blood-pressure-and-cognitive-decline/,https://www.ukbiobank.ac.uk/projects/the-association-between-genetic-determinants-of-blood-pressure-and-cognitive-decline/,The association between genetic determinants of blood pressure and cognitive decline,unique_normalized_title
66057,Correlating Genotype with Phenotype for Variants in Rare Disease Genes in the UK Biobank,University of British Columbia,Professor Anna Lehman,matched_one_website_record,1,2021-03-08,2021-03-08,https://www.ukbiobank.ac.uk/projects/correlating-genotype-with-phenotype-for-variants-in-rare-disease-genes-in-the-uk-biobank/,https://www.ukbiobank.ac.uk/projects/correlating-genotype-with-phenotype-for-variants-in-rare-disease-genes-in-the-uk-biobank/,Correlating Genotype with Phenotype for Variants in Rare Disease Genes in the UK Biobank,unique_normalized_title
