specification,control_definition,design,intervention_date,sample_start,sample_end,term,estimate,std_error,z,p_value,ci_low,ci_high,n_obs,k_params,df_resid,nw_lag,inference
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-01,2021-10,2024-06,month_09,-1.21564843,1.51727497,-0.80120509,0.42301292,-4.18950736,1.75821051,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-01,2021-10,2024-06,month_10,1.89567249,0.90037537,2.10542463,0.03525436,0.13093675,3.66040822,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-01,2021-10,2024-06,month_11,2.66831711,0.93928340,2.84080089,0.00450004,0.82732165,4.50931256,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-01,2021-10,2024-06,month_12,2.10762840,0.66094302,3.18882012,0.00142855,0.81218008,3.40307672,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-02,2021-10,2024-06,Intercept,-2.15805397,0.40606024,-5.31461529,0.00000011,-2.95393204,-1.36217589,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-02,2021-10,2024-06,Time,0.31448602,0.04766130,6.59835196,0.00000000,0.22106987,0.40790216,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-02,2021-10,2024-06,ArtificialLevel,0.79671115,0.55520746,1.43497919,0.15129303,-0.29149547,1.88491777,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-02,2021-10,2024-06,ArtificialSlope,-0.31585637,0.05688015,-5.55301593,0.00000003,-0.42734146,-0.20437128,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-02,2021-10,2024-06,month_02,0.19189572,0.69076228,0.27780284,0.78116371,-1.16199835,1.54578979,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-02,2021-10,2024-06,month_03,0.42131395,0.98530215,0.42759873,0.66894329,-1.50987827,2.35250617,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
