specification,month,month_start,time,post_july2024,time_after_july2024,month_of_year,group,treated,raw_count,entry_index_pre_mean
strict,2025-07,2025-07-01,79,1,12,7,Control,0,7,212.90322581
strict,2025-07,2025-07-01,79,1,12,7,Treatment,1,13,293.83561644
strict,2025-08,2025-08-01,80,1,13,8,Control,0,7,212.90322581
strict,2025-08,2025-08-01,80,1,13,8,Treatment,1,9,203.42465753
strict,2025-09,2025-09-01,81,1,14,9,Control,0,9,273.73271889
strict,2025-09,2025-09-01,81,1,14,9,Treatment,1,13,293.83561644
strict,2025-10,2025-10-01,82,1,15,10,Control,0,7,212.90322581
strict,2025-10,2025-10-01,82,1,15,10,Treatment,1,14,316.43835616
strict,2025-11,2025-11-01,83,1,16,11,Control,0,10,304.14746544
strict,2025-11,2025-11-01,83,1,16,11,Treatment,1,10,226.02739726
strict,2025-12,2025-12-01,84,1,17,12,Control,0,2,60.82949309
strict,2025-12,2025-12-01,84,1,17,12,Treatment,1,8,180.82191781
strict,2026-01,2026-01-01,85,1,18,1,Control,0,10,304.14746544
strict,2026-01,2026-01-01,85,1,18,1,Treatment,1,23,519.86301370
strict,2026-02,2026-02-01,86,1,19,2,Control,0,4,121.65898618
strict,2026-02,2026-02-01,86,1,19,2,Treatment,1,11,248.63013699
strict,2026-03,2026-03-01,87,1,20,3,Control,0,6,182.48847926
strict,2026-03,2026-03-01,87,1,20,3,Treatment,1,23,519.86301370
strict,2026-04,2026-04-01,88,1,21,4,Control,0,4,121.65898618
strict,2026-04,2026-04-01,88,1,21,4,Treatment,1,6,135.61643836
