app_id,project_start_date,start_cohort,project_cohort,project_cohort_post_rap,followup_eligible_12m,pub12_fractional,anypub12,followup_eligible_18m,pub18_fractional,anypub18,followup_eligible_24m,pub24_fractional,anypub24
9659,2015-05-01,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
9797,2014-12-01,2014H2,pre_rap_project_start,0,1,0.000000,0,1,2.000000,1,1,2.000000,1
9807,2016-01-01,2016H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
9905,2014-12-01,2014H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
9914,2015-11-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,2.000000,1,1,2.000000,1
9922,2015-02-01,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,1.000000,1
9946,2014-12-31,2014H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
9979,2015-09-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
10026,2014-12-01,2014H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
10035,2017-03-16,2017H1,pre_rap_project_start,0,1,1.500000,1,1,1.500000,1,1,2.000000,1
10061,2014-12-15,2014H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
10074,2015-10-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
10088,2017-03-01,2017H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
10163,2015-04-01,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
10171,2016-06-01,2016H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.500000,1
10205,2015-10-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
10214,2015-09-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
10279,2015-04-01,2015H1,pre_rap_project_start,0,1,1.000000,1,1,5.000000,1,1,11.500000,1
10438,2015-05-01,2015H1,pre_rap_project_start,0,1,0.000000,0,1,2.500000,1,1,2.500000,1
10536,2016-01-01,2016H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
10570,2014-12-06,2014H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
