frequency,control_definition,outcome,event_time,estimate,clustered_se,p_value,ci_low,ci_high,reference_period,model
quarter,CONTROL_C03,publication_count,-2,-0.025577,0.040198,0.524602,-0.104365,0.053211,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C03,publication_count,0,-0.022429,0.061603,0.715788,-0.143172,0.098313,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C03,publication_count,1,-0.019697,0.045810,0.667216,-0.109484,0.070090,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C03,publication_count,2,0.021910,0.050917,0.666963,-0.077886,0.121707,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C03,publication_count,3,-0.010235,0.046041,0.824079,-0.100476,0.080006,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C03,publication_count,4,0.009353,0.038440,0.807756,-0.065989,0.084695,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C03,publication_count,5,0.059996,0.034576,0.082710,-0.007774,0.127765,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C03,publication_count,6,-0.050946,0.055160,0.355690,-0.159060,0.057167,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C03,publication_count,7,0.012295,0.033411,0.712873,-0.053190,0.077781,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C03,any_publication,-8,-0.061990,0.035879,0.084034,-0.132312,0.008333,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C03,any_publication,-7,0.019968,0.025913,0.440954,-0.030822,0.070759,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C03,any_publication,-6,0.013440,0.028814,0.640905,-0.043036,0.069916,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C03,any_publication,-5,-0.004090,0.021173,0.846811,-0.045589,0.037408,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C03,any_publication,-4,0.017884,0.025950,0.490716,-0.032978,0.068746,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C03,any_publication,-3,-0.019304,0.030226,0.523054,-0.078547,0.039940,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C03,any_publication,-2,-0.020478,0.026743,0.443844,-0.072895,0.031939,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C03,any_publication,0,-0.028475,0.032035,0.374064,-0.091263,0.034313,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C03,any_publication,1,-0.025229,0.030379,0.406276,-0.084772,0.034314,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C03,any_publication,2,0.010551,0.025284,0.676453,-0.039005,0.060107,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C03,any_publication,3,-0.022444,0.030469,0.461353,-0.082164,0.037275,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C03,any_publication,4,-0.004412,0.025090,0.860424,-0.053588,0.044765,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C03,any_publication,5,0.025415,0.025222,0.313618,-0.024020,0.074850,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C03,any_publication,6,0.012387,0.027531,0.652750,-0.041573,0.066347,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C03,any_publication,7,-0.010515,0.025413,0.679054,-0.060324,0.039295,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C05,publication_count,-8,-0.106528,0.051781,0.039659,-0.208019,-0.005037,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C05,publication_count,-7,-0.027302,0.054494,0.616362,-0.134110,0.079506,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C05,publication_count,-6,0.041090,0.035010,0.240540,-0.027531,0.109710,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C05,publication_count,-5,-0.052988,0.060385,0.380217,-0.171342,0.065367,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C05,publication_count,-4,0.014523,0.030146,0.629988,-0.044564,0.073610,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C05,publication_count,-3,-0.028938,0.045606,0.525734,-0.118326,0.060449,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C05,publication_count,-2,-0.025588,0.039897,0.521295,-0.103786,0.052610,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C05,publication_count,0,-0.014393,0.061626,0.815326,-0.135180,0.106393,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C05,publication_count,1,-0.011758,0.046103,0.798691,-0.102119,0.078603,2024Q2,app_fe_quarter_fe_project_age_bin_fe
