model_id,test,outcome,classification_definition,denominator,term,estimate,std_error,statistic,p_value,ci_low,ci_high,n_obs,r_squared,model_f_statistic_classical,nw_lag,inference,sample_dates
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,PostJuly2024,59.72887079,55.32677174,1.07956544,0.28033574,-48.71160181,168.16934340,90,0.36097317,3.02614027,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,TimeAfterJuly2024,3.56920140,4.94383806,0.72194950,0.47032553,-6.12072120,13.25912399,90,0.36097317,3.02614027,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_02,-19.72749215,29.89203803,-0.65995808,0.50928073,-78.31588669,38.86090240,90,0.36097317,3.02614027,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_03,19.02202719,30.80924664,0.61741293,0.53696240,-41.36409622,79.40815060,90,0.36097317,3.02614027,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_04,-30.73420059,38.83092974,-0.79148763,0.42865949,-106.84282289,45.37442171,90,0.36097317,3.02614027,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_05,-66.26629044,39.11265661,-1.69424161,0.09021938,-142.92709739,10.39451651,90,0.36097317,3.02614027,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_06,-35.41906995,47.63168625,-0.74360311,0.45711662,-128.77717501,57.93903511,90,0.36097317,3.02614027,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_07,-44.50643390,37.25304400,-1.19470597,0.23220193,-117.52240014,28.50953234,90,0.36097317,3.02614027,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_08,-50.81459950,35.68157786,-1.42411302,0.15441376,-120.75049210,19.12129310,90,0.36097317,3.02614027,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_09,-40.86660747,41.04842397,-0.99557068,0.31945879,-121.32151845,39.58830352,90,0.36097317,3.02614027,3,OLS Newey-West HAC,2019-01 through 2026-06
