family_id,family_status,lineage_count,lineage_ids,source_repositories,candidate_application_count,supported_or_ambiguous_application_count,candidate_application_ids,supported_or_ambiguous_application_ids,confirmed_rows,probable_rows,ambiguous_rows,candidate_rows,weak_candidate_rows,new_unique_candidate_count_beyond_52
family_proteomics-ukbb,weak_candidate_only,1,lineage_fmerella_proteomics_ukbb,Fmerella/Proteomics_UKBB-,20,0,21988; 25589; 44108; 65898; 90143; 102854; 106345; 176821; 181095; 182419; 200882; 285361; 709086; 779041; 786827; 1006787; 1049973; 1061591; 1108406; 1109072,,0,0,0,0,20,20
family_prs-dash-boxplot-app,weak_candidate_only,1,lineage_nebrunai_prs-dash-boxplot-app,NeBruNAI/PRS-dash-boxplot-app,20,0,14292; 19947; 21988; 24299; 27960; 28659; 40462; 41910; 42646; 55681; 68025; 73962; 74629; 85092; 86585; 93016; 491285; 753669; 823955; 1141727,,0,0,0,0,20,20
family_prs-height-admixed-populations,weak_candidate_only,1,lineage_shicheng-guo_prs_height_admixed_populations,Shicheng-Guo/PRS_Height_Admixed_Populations,20,0,4372; 17847; 18177; 20272; 21413; 21988; 28174; 32677; 33923; 34201; 42195; 54176; 74348; 90934; 92411; 95179; 95237; 103076; 593259; 837784,,0,0,0,0,20,19
family_ptrs-ukb,confirmed,3,lineage_cuihuaxia_ptrs-ukb; lineage_emyanuthomas_ptrs-ukb; lineage_hakyimlab_ptrs-ukb,CuihuaXia/ptrs-ukb; emyanuthomas/ptrs-ukb; hakyimlab/ptrs-ukb,21,1,4372; 17847; 18177; 19526; 20272; 20480; 21743; 21988; 28174; 32677; 34201; 42195; 54176; 69929; 74629; 76689; 81596; 90221; 103076; 1075051; 1108406,19526,3,0,0,0,59,20
family_retinapd,ambiguous_multi_application,2,lineage_hewramanwaran_retinapd; lineage_lab-smile_retinapd,hewramanwaran/RetinaPD; lab-smile/RetinaPD,40,20,8764; 11223; 16434; 18120; 19127; 19655; 20106; 21988; 27960; 30619; 31615; 35698; 37539; 41664; 46146; 46704; 48012; 48388; 50529; 60928; 62811; 63121; 63454; 64379; 65206; 67263; 68245; 71550; 76517; 80610; 82002; 83259; 84541; 85139; 96326; 100274; 101900; 107065; 628562; 820621,31615; 35698; 37539; 41664; 46146; 48388; 60928; 62811; 63121; 63454; 65206; 67263; 71550; 76517; 80610; 82002; 83259; 85139; 96326; 100274,2,0,0,19,20,39
family_rick-chen-pku_001,weak_candidate_only,1,lineage_rick-chen-pku_001,Rick-Chen-PKU/001,20,0,21988; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 100469; 100532; 100578; 100584; 1000805; 1001139; 1001461; 1002450; 1004433; 1006098,,0,0,0,0,20,20
family_rooty29_ukbiobank,confirmed,1,lineage_rooty29_ukbiobank,Rooty29/UKBiobank,21,1,21988; 55681; 56757; 85092; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 100469; 100532; 491285; 1000805; 1001139; 1001461; 1002450; 1004433,56757,1,0,0,0,20,20
family_sas-sample-extraction,ambiguous,1,lineage_samarpita-saha293_sas_sample_extraction,samarpita-saha293/SAS_sample_extraction,20,1,28784; 34303; 37489; 45624; 51830; 67095; 77717; 78657; 82213; 96326; 105731; 124664; 150429; 171264; 437499; 491612; 532322; 1183297; 1245371; 1290541,51830,0,0,1,0,19,19
family_shapeit5,ambiguous_multi_application,10,lineage_23andme-jaredo_shapeit5; lineage_barneyhill_shapeit5; lineage_josephlalli_shapeit5; lineage_m-hakmi_shapeit5; lineage_odelaneau_shapeit5; lineage_rimanb_shapeit5; lineage_rwk-unil_shapeit5; lineage_sunrisefor_shapeit5; lineage_toseph_shapeit5; lineage_victorasua_shapeit5,23andme-jaredo/shapeit5; barneyhill/shapeit5; JosephLalli/shapeit5; M-Hakmi/shapeit5; odelaneau/shapeit5; RimanB/shapeit5; rwk-unil/shapeit5; sunrisefor/shapeit5; Toseph/shapeit5; victorasua/shapeit5,40,20,236; 3501; 7898; 8370; 9462; 9616; 14048; 19947; 21413; 21988; 24299; 27960; 28659; 40462; 40709; 41910; 42646; 48031; 65027; 65983; 66995; 72298; 74629; 78795; 79237; 86879; 88969; 95030; 98772; 100014; 107012; 107825; 190333; 200882; 317703; 370173; 680373; 787644; 1059547; 1145019,236; 3501; 7898; 8370; 9616; 40709; 65027; 66995; 72298; 78795; 79237; 95030; 98772; 100014; 107825; 190333; 317703; 680373; 1059547; 1145019,10,0,1,18,180,39
family_smiles2011hyc_001,weak_candidate_only,1,lineage_smiles2011hyc_001,smiles2011hyc/001,20,0,21988; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 100469; 100532; 100578; 100584; 1000805; 1001139; 1001461; 1002450; 1004433; 1006098,,0,0,0,0,20,20
family_sophia-cross-sectional,weak_candidate_only,4,lineage_jackw7777_sophia_cross_sectional; lineage_kkk0-000_sophia_cross_sectional; lineage_sspl33_sophia_cross_sectional; lineage_zscu_sophia_cross_sectional,JackW7777/SOPHIA_Cross_Sectional; kkk0-000/SOPHIA_Cross_Sectional; sspl33/SOPHIA_Cross_Sectional; zscu/SOPHIA_Cross_Sectional,23,0,19416; 21988; 31211; 45611; 46263; 47267; 55495; 56800; 57617; 105295; 156667; 263588; 301868; 633186; 898835; 971434; 1000805; 1001139; 1001461; 1039744; 1098812; 1138116; 1170090,,0,0,0,0,80,22
family_t2dm-ukb-predictions,ambiguous_multi_application,2,lineage_farida-ali_t2dm_ukb_predictions; lineage_yochaiedlitz_t2dm_ukb_predictions,Farida-Ali/T2DM_UKB_predictions; yochaiedlitz/T2DM_UKB_predictions,40,20,15678; 16577; 21988; 28784; 42256; 58105; 77583; 85224; 93173; 93351; 99967; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 100469; 100532; 100578; 100584; 104811; 106223; 176486; 214427; 217744; 494920; 680373; 692259; 888618; 903785; 1000805; 1001139; 1001461; 1002450; 1004433; 1168445,15678; 16577; 28784; 42256; 58105; 77583; 85224; 93173; 93351; 99967; 104811; 106223; 176486; 214427; 494920; 680373; 692259; 888618; 903785; 1168445,2,0,1,18,20,39
family_t40-rsfmri,weak_candidate_only,1,lineage_kakashi-sensei_t40_rsfmri,Kakashi-sensei/T40_rsfMRI,20,0,18545; 21988; 30769; 31028; 43384; 45420; 55634; 55787; 57428; 64997; 67801; 77959; 93224; 100203; 100862; 114424; 151378; 383384; 1125546; 1260524,,0,0,0,0,20,20
family_takdrift_001,weak_candidate_only,1,lineage_takdrift_001,Takdrift/001,20,0,21988; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 100469; 100532; 100578; 100584; 1000805; 1001139; 1001461; 1002450; 1004433; 1006098,,0,0,0,0,20,20
family_tds-project,weak_candidate_only,1,lineage_n-cizauskas_tds_project,N-cizauskas/TDS_Project,20,0,5791; 28126; 31984; 41896; 53308; 53331; 53602; 53723; 67095; 71993; 77565; 78846; 91074; 442119; 491612; 843724; 1084623; 1195503; 1224312; 1252926,,0,0,0,0,20,20
