design,frequency,control_definition,outcome,model,coefficient,cluster,n_obs,n_apps,n_treated_apps,n_control_apps,estimate,clustered_se,p_value,ci_low,ci_high,warning,note
Q0_quarterly_incumbent_did,quarter,CONTROL_C03,any_publication,application_fe_calendar_quarter_fe,treated_x_post,application,51515,3455,3325,130,-0.004772,0.012242,0.696669,-0.028766,0.019222,,pre_periods=8; post_periods=8; 2024Q3_as_post
Q0_quarterly_incumbent_did,quarter,CONTROL_C03,any_publication,application_fe_calendar_quarter_fe,treated_x_post,institution,51515,3455,3325,130,-0.004772,0.013385,0.721445,-0.031006,0.021462,,pre_periods=8; post_periods=8; 2024Q3_as_post
Q1_quarterly_incumbent_did_age_adjusted,quarter,CONTROL_C03,any_publication,application_fe_calendar_quarter_fe_project_age_bin_fe,treated_x_post,application,51515,3455,3325,130,0.001043,0.011710,0.929060,-0.021910,0.023995,,"age bins: q0,q1,q2,q3,q4_7,q8_11,q12_15,q16_23,q24_35,q36_47,q48_plus"
Q0_quarterly_drop_first_partial_period,quarter,CONTROL_C03,any_publication,application_fe_calendar_quarter_fe,treated_x_post,application,50379,3455,3325,130,-0.007945,0.012525,0.525865,-0.032494,0.016604,,drops first partial at-risk quarter
Q0_quarterly_stable_post_drop_2024Q3,quarter,CONTROL_C03,any_publication,application_fe_calendar_quarter_fe,treated_x_stable_post,application,48060,3455,3325,130,-0.001387,0.013043,0.915330,-0.026951,0.024177,,drops 2024Q3 transition quarter; post starts 2024Q4
Q0_balanced_incumbent_started_by_2022Q3,quarter,CONTROL_C03,any_publication,application_fe_calendar_quarter_fe,treated_x_post,application,37104,2319,2230,89,-0.022406,0.014198,0.114527,-0.050234,0.005421,,balanced incumbent sample started by 2022-07-01
Q0_recent_projects_started_after_2019,quarter,CONTROL_C03,any_publication,application_fe_calendar_quarter_fe,treated_x_post,application,38587,2647,2532,115,-0.007053,0.012426,0.570289,-0.031408,0.017302,,active-project exposure robustness using pre-treatment start date only
Q0_recent_projects_started_after_2020,quarter,CONTROL_C03,any_publication,application_fe_calendar_quarter_fe,treated_x_post,application,32203,2248,2151,97,-0.007521,0.013072,0.565030,-0.033142,0.018099,,active-project exposure robustness using pre-treatment start date only
Q0_quarterly_incumbent_did,quarter,CONTROL_C05,publication_count,application_fe_calendar_quarter_fe,treated_x_post,application,51515,3455,3324,131,0.015375,0.024577,0.531591,-0.032796,0.063545,,pre_periods=8; post_periods=8; 2024Q3_as_post
Q0_quarterly_incumbent_did,quarter,CONTROL_C05,publication_count,application_fe_calendar_quarter_fe,treated_x_post,institution,51515,3455,3324,131,0.015375,0.027920,0.581860,-0.039349,0.070098,,pre_periods=8; post_periods=8; 2024Q3_as_post
