app_id	pub_id
8256	15348
8256	19520
8260	4477
8260	10763
8294	2909
8294	5802
8304	264
8304	2175
8304	2895
8304	4340
8304	8490
8304	8497
8343	14243
8389	8491
8389	9105
8389	13752
8389	18692
8447	2246
8447	3064
8508	10673
8614	3141
8614	8657
8614	8698
8614	9136
8614	11512
8614	12085
8614	12660
8614	12679
8614	12906
8614	13336
8614	13786
8614	13787
8614	16029
8614	16898
8614	18690
8614	19209
8764	5024
8764	10520
8764	11004
8764	12387
8764	12490
8764	13695
8764	16737
8786	1763
8786	2740
8786	4044
8786	4047
8786	4082
8786	4336
8786	4544
8786	4653
8786	5265
8786	5369
8786	5559
8786	7068
8786	7088
8786	7327
8786	7407
8786	8509
8786	8541
8786	11546
8786	13743
8786	13771
8835	3853
8835	10130
8835	12625
8874	543
8874	7665
9055	3860
9055	3947
9055	4737
9055	4915
9055	5963
9055	7294
9055	7551
9055	8079
9055	8422
9055	8452
9055	8499
9055	8639
9055	9702
9055	9917
9055	10676
9055	12590
9055	13761
9055	13779
9072	1863
9072	2805
9072	3860
9072	3886
9072	3887
9072	3911
9072	4522
9072	4731
9072	4915
9072	4916
9072	4928
9072	5009
9072	5138
9072	5186
9072	5268
9072	5963
9072	7211
9072	7282
9072	7362
9072	7474
9072	7500
9072	7548
9072	7709
9072	8079
9072	8279
9072	8346
9072	8421
9072	8422
9072	8505
9072	8639
9072	8820
9072	8826
9072	8967
9072	9149
9072	9272
9072	9433
9072	9501
9072	9575
9072	9702
9072	9739
9072	9742
9072	9801
9072	9870
9072	9917
9072	10224
9072	10259
9072	10582
9072	10714
9072	11534
9072	11585
9072	12230
9072	12248
9072	12250
9072	12257
9072	12425
9072	12590
9072	12761
9072	13282
9072	13750
9072	13779
9072	13882
9072	14427
9072	14803
9072	15070
9072	15598
9072	16201
9072	17507
9072	17609
9072	18807
9072	19470
9119	5171
9126	2243
9126	3968
9126	8456
9142	2527
9142	2821
9142	2822
9142	2823
9142	2824
9142	2825
9142	2826
9142	2827
9142	2896
9142	4813
9142	4818
9142	4837
9142	5381
9142	8765
9142	9580
9142	9884
9142	11146
9142	12267
9142	14414
9142	14646
9142	16559
9161	1505
9161	4503
9161	5303
9161	8449
9161	8572
9161	8693
9161	8833
9161	12028
9161	12426
9310	2618
9310	2845
9310	2846
9310	3639
9310	3672
9310	5328
9462	4207
9462	11176
9462	14006
9462	19708
9502	2745
9616	6014
9628	3785
9628	4703
9628	7546
9637	11195
9637	12851
