model_id,test,outcome,classification_definition,denominator,term,estimate,std_error,statistic,p_value,ci_low,ci_high,n_obs,r_squared,model_f_statistic_classical,nw_lag,inference,sample_dates
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_08,-43.36622681,29.40091572,-1.47499579,0.14021368,-100.99202162,14.25956801,88,0.55225618,6.43140418,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_09,-35.10121945,33.53006427,-1.04685810,0.29516503,-100.82014541,30.61770652,88,0.55225618,6.43140418,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_10,-15.99877366,30.34492114,-0.52723069,0.59803340,-75.47481909,43.47727176,88,0.55225618,6.43140418,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_11,15.74735028,37.84091048,0.41614618,0.67730304,-58.42083427,89.91553483,88,0.55225618,6.43140418,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_12,-57.26843054,42.02076614,-1.36286022,0.17292657,-139.62913217,25.09227110,88,0.55225618,6.43140418,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,Intercept,41.39360057,22.24230659,1.86103003,0.06273994,-2.20132035,84.98852148,88,0.22530105,1.51643941,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,Time,-0.89489460,0.25693384,-3.48297672,0.00049587,-1.39848493,-0.39130426,88,0.22530105,1.51643941,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,PostJuly2024,-33.74185595,23.19307909,-1.45482434,0.14571790,-79.20029097,11.71657907,88,0.22530105,1.51643941,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,TimeAfterJuly2024,5.22389770,2.35724403,2.21610391,0.02668439,0.60369941,9.84409599,88,0.22530105,1.51643941,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_02,-5.73083552,27.41604744,-0.20903216,0.83442314,-59.46628850,48.00461745,88,0.22530105,1.51643941,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_03,-9.27342592,24.04969556,-0.38559432,0.69979714,-56.41082921,37.86397737,88,0.22530105,1.51643941,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_04,-24.84864146,30.46055039,-0.81576469,0.41463473,-84.55132022,34.85403729,88,0.22530105,1.51643941,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_05,-25.75880563,27.91947872,-0.92261055,0.35621020,-80.48098392,28.96337266,88,0.22530105,1.51643941,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_06,12.46400713,27.17994251,0.45857371,0.64654032,-40.80868020,65.73669445,88,0.22530105,1.51643941,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_07,-20.60270395,31.26297367,-0.65901293,0.50988746,-81.87813235,40.67272445,88,0.22530105,1.51643941,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_08,2.62184683,24.86001407,0.10546441,0.91600731,-46.10378075,51.34747441,88,0.22530105,1.51643941,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_09,-12.15559184,26.64864268,-0.45614300,0.64828715,-64.38693150,40.07574781,88,0.22530105,1.51643941,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_10,-31.36584906,27.64749263,-1.13449163,0.25658838,-85.55493462,22.82323651,88,0.22530105,1.51643941,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_11,-7.71681327,39.00493407,-0.19784198,0.84316870,-84.16648405,68.73285752,88,0.22530105,1.51643941,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_high_minus_lower_difference,Test 3 High-minus-Lower partition difference,index_diff_pre_mean,Index_H - Index_L,own pre-transition monthly means,month_12,-17.67678276,35.79604663,-0.49381941,0.62143372,-87.83703416,52.48346865,88,0.22530105,1.51643941,3,OLS Newey-West HAC,2019-01 through 2026-04
