application_id,application_title,application_pi,application_institution,project_start_date,project_start_month,project_start_year,project_start_quarter,post_july2024,analysis_eligible_start_date,primary_its_window_2019_2025,drop_recent_12m_sample,website_match_status,website_url,leak_strict_21,leak_main_27,leak_archived_broad_48,leak_final_expanded,linkage_confidence,linked_lineage_count,linked_family_count,linked_repo_count,linked_notice_count,linked_targeted_row_count,linked_lineages,linked_repo_urls,evidence_grades,count_notes
1110034,Leveraging Genetic Data to Identify Medical Therapies for Valvular Heart Disease: A Mendelian Randomisation Study,,University of Sydney,2025-12-18,2025-12,2025,2025Q4,1,1,1,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/leveraging-genetic-data-to-identify-medical-therapies-for-valvular-heart-disease-a-mendelian-randomisation-study/,0,0,0,0,,0,0,0,0,0,,,,
1110047,Identification and Functional Characterization of Pancreatitis Risk Variants,,University of Texas (UTHSCSA),2025-12-15,2025-12,2025,2025Q4,1,1,1,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/identification-and-functional-characterization-of-pancreatitis-risk-variants/,0,0,0,0,,0,0,0,0,0,,,,
1110075,"Integrative Analysis of Phenotypic, Laboratory, Imaging, and Genomic Data in Oncology, Neurology/Immunology and Fertility - Merck KGaA",,Merck KGaA,2026-01-22,2026-01,2026,2026Q1,1,1,0,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/integrative-analysis-of-phenotypic-laboratory-imaging-and-genomic-data-in-oncology-neurology-immunology-and-fertility-merck-kgaa/,0,0,0,0,,0,0,0,0,0,,,,
1110081,Integrative Multi-omics Analysis to Decipher the Genetic and Molecular Basis of Multimorbidity in Aging,,Zhejiang University,2025-12-01,2025-12,2025,2025Q4,1,1,1,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/integrative-multi-omics-analysis-to-decipher-the-genetic-and-molecular-basis-of-multimorbidity-in-aging/,0,0,0,0,,0,0,0,0,0,,,,
1110109,"Predicting First-Time Stroke Risk Through Integration of Genetic, Clinical, and Lifestyle Factors",,Trinity College Dublin,2026-04-17,2026-04,2026,2026Q2,1,1,0,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/predicting-first-time-stroke-risk-through-integration-of-genetic-clinical-and-lifestyle-factors/,0,0,0,0,,0,0,0,0,0,,,,
1110113,PERSONALIZED DATA DRIVEN PREVENTION OF NEURODEGENERATIVE DISORDERS: A DATA LAKE & ARTIFICIAL INTELLIGENCE APPROACH,,International Foundation Big Data and Artificial Intelligence for Human Development,2026-01-03,2026-01,2026,2026Q1,1,1,0,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/personalized-data-driven-prevention-of-neurodegenerative-disorders-a-data-lake-artificial-intelligence-approach/,0,0,0,0,,0,0,0,0,0,,,,
1110132,Multi-omics analysis of aging comorbidities in large cohorts: Identifying therapeutic targets and constructing predictive models via machine learning and Mendelian randomization,,Huazhong University of Science and Technology,2025-12-24,2025-12,2025,2025Q4,1,1,1,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/multi-omics-analysis-of-aging-comorbidities-in-large-cohorts-identifying-therapeutic-targets-and-constructing-predictive-models-via-machine-learning-and-mendelian-randomization/,0,0,0,0,,0,0,0,0,0,,,,
1110364,Examining the genetic architecture of complex traits across the coding and non-coding genome,,Baylor College of Medicine,2026-03-13,2026-03,2026,2026Q1,1,1,0,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/examining-the-genetic-architecture-of-complex-traits-across-the-coding-and-non-coding-genome/,0,0,0,0,,0,0,0,0,0,,,,
1110695,Linking lifestyle factors to the risk of multimorbidity of chronic diseases through biomarkers,,Kyung Hee University,2025-11-12,2025-11,2025,2025Q4,1,1,1,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/linking-lifestyle-factors-to-the-risk-of-multimorbidity-of-chronic-diseases-through-biomarkers/,0,0,0,0,,0,0,0,0,0,,,,
1111359,"Integrating Environmental/Social/Dietary/Psychological Factors with Multi-Omics to Explore Risk Factors, Mechanisms and Mortality of Chronic Diseases",,Guilin Medical University,2025-12-18,2025-12,2025,2025Q4,1,1,1,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/integrating-environmental-social-dietary-psychological-factors-with-multi-omics-to-explore-risk-factors-mechanisms-and-mortality-of-chronic-diseases/,0,0,0,0,,0,0,0,0,0,,,,
1111363,"The Impact of Aging, Lifestyle, Environment and Perioperative period on Health Outcomes: Risk, Progression, and Multi-Organ Imaging Changes",,Central South University,2026-01-26,2026-01,2026,2026Q1,1,1,0,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/the-impact-of-aging-lifestyle-environment-and-perioperative-period-on-health-outcomes-risk-progression-and-multi-organ-imaging-changes/,0,0,0,0,,0,0,0,0,0,,,,
1112042,"Associations Between Body Composition, Physical Exercise, Diet and the Incidence of Chronic Locomotor System Diseases: A prospective cohort study",,Nanjing Medical University,2025-11-19,2025-11,2025,2025Q4,1,1,1,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/associations-between-body-composition-physical-exercise-diet-and-the-incidence-of-chronic-locomotor-system-diseases-a-prospective-cohort-study/,0,0,0,0,,0,0,0,0,0,,,,
1112057,The Mediating Role of Serum Metabolome in Linking Long-Term Ambient Air Pollution to Cardiovascular Disease: A Mechanistic Study Using UK Biobank Data,,Peking Union Medical College Hospital (PUMCH),2025-11-21,2025-11,2025,2025Q4,1,1,1,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/the-mediating-role-of-serum-metabolome-in-linking-long-term-ambient-air-pollution-to-cardiovascular-disease-a-mechanistic-study-using-uk-biobank-data/,0,0,0,0,,0,0,0,0,0,,,,
1112088,Health Risks and Outcomes Associated with Deficiencies in the Fanconi Anemia and Related Pathways,,The Rockefeller University,2026-03-10,2026-03,2026,2026Q1,1,1,0,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/health-risks-and-outcomes-associated-with-deficiencies-in-the-fanconi-anemia-and-related-pathways/,0,0,0,0,,0,0,0,0,0,,,,
1112673,"Elucidating Causal Pathways Between Brain Age Gap and Frailty: An Integrated Neuroimaging, Multi-omics and Genetic Investigation",,Huazhong University of Science and Technology,2026-01-06,2026-01,2026,2026Q1,1,1,0,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/elucidating-causal-pathways-between-brain-age-gap-and-frailty-an-integrated-neuroimaging-multi-omics-and-genetic-investigation/,0,0,0,0,,0,0,0,0,0,,,,
1113991,Identify the potential impacts of environmental factors on health outcomes.,,Nantong University,2025-11-14,2025-11,2025,2025Q4,1,1,1,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/identify-the-potential-impacts-of-environmental-factors-on-health-outcomes/,0,0,0,0,,0,0,0,0,0,,,,
1114664,"Exploring Risk Factors, Predictive Models, Pathogenic Mechanisms, and Prognostic Indicators of Otolaryngological Diseases Using UK Biobank Multi-Modal Data.",,Fujian Medical University,2025-12-10,2025-12,2025,2025Q4,1,1,1,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/exploring-risk-factors-predictive-models-pathogenic-mechanisms-and-prognostic-indicators-of-otolaryngological-diseases-using-uk-biobank-multi-modal-data/,0,0,0,0,,0,0,0,0,0,,,,
1114981,"Chrononutrition and Cardiometabolic Health: Investigating the Role of Meal Timing, Chronotype, and Lifestyle Factors in the UK Biobank Cohort.",,Federal University of Uberlândia,2025-12-04,2025-12,2025,2025Q4,1,1,1,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/chrononutrition-and-cardiometabolic-health-investigating-the-role-of-meal-timing-chronotype-and-lifestyle-factors-in-the-uk-biobank-cohort/,0,0,0,0,,0,0,0,0,0,,,,
1115979,"Multi-omic Profiling of the Hematologic Disease Spectrum: Mechanisms, Biomarkers, and Risk Prediction",,"Institute of Hematology & Blood Diseases Hospital, Chinese Academy of Medical Sciences & Peking Union Medical College, China",2025-12-15,2025-12,2025,2025Q4,1,1,1,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/multi-omic-profiling-of-the-hematologic-disease-spectrum-mechanisms-biomarkers-and-risk-prediction/,0,0,0,0,,0,0,0,0,0,,,,
1116314,Development of a Multimodal Risk Stratification Framework to Guide Individualized Blood Pressure Targets,,"Beijing Anzhen Hospital, Capital Medical University",2026-02-04,2026-02,2026,2026Q1,1,1,0,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/development-of-a-multimodal-risk-stratification-framework-to-guide-individualized-blood-pressure-targets/,0,0,0,0,,0,0,0,0,0,,,,
1116322,Cross-Disease Blood Proteomic Profiling to Identify Blood-Brain Barrier Dysfunction Biomarkers in Neurological Disorders,,University of Vienna,2026-04-10,2026-04,2026,2026Q2,1,1,0,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/cross-disease-blood-proteomic-profiling-to-identify-blood-brain-barrier-dysfunction-biomarkers-in-neurological-disorders/,0,0,0,0,,0,0,0,0,0,,,,
1117633,Uncovering Biological Mechanisms of Brain Disorders through Multi-Omics and Multimodal Data Integration,,The Hong Kong Polytechnic University,2026-03-10,2026-03,2026,2026Q1,1,1,0,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/uncovering-biological-mechanisms-of-brain-disorders-through-multi-omics-and-multimodal-data-integration/,0,0,0,0,,0,0,0,0,0,,,,
1118299,Determinants and Sequelae of Critical Illness in the General Population,,"The First Affiliated Hospital, Sun Yat-sen University",2026-01-14,2026-01,2026,2026Q1,1,1,0,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/determinants-and-sequelae-of-critical-illness-in-the-general-population/,0,0,0,0,,0,0,0,0,0,,,,
1119612,"Multimodal Risk Profiling of Cardiovascular Diseases: Integrating Genomics, Proteomics, Imaging, Lifestyle, and Environmental Exposures",,Qilu Hospital of Shandong University,2025-12-18,2025-12,2025,2025Q4,1,1,1,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/multimodal-risk-profiling-of-cardiovascular-diseases-integrating-genomics-proteomics-imaging-lifestyle-and-environmental-exposures/,0,0,0,0,,0,0,0,0,0,,,,
1119620,Integrating Knowledge Graph and Causal Generative Models for Predicting Risk of Obstructive Sleep Apnea and Cardiovascular Disease,,Chonnam National University,2026-03-17,2026-03,2026,2026Q1,1,1,0,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/integrating-knowledge-graph-and-causal-generative-models-for-predicting-risk-of-obstructive-sleep-apnea-and-cardiovascular-disease/,0,0,0,0,,0,0,0,0,0,,,,
1120265,"Characterizing menopause using an ""Inflammatory Age"" model based on inflammatory proteomics and machine learning",,Chongqing International Institute for Immunology,2025-12-15,2025-12,2025,2025Q4,1,1,1,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/characterizing-menopause-using-an-inflammatory-age-model-based-on-inflammatory-proteomics-and-machine-learning/,0,0,0,0,,0,0,0,0,0,,,,
1120616,Deep learning for cancer risk identification in South Africa,,Stellenbosch University.,2026-01-05,2026-01,2026,2026Q1,1,1,0,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/deep-learning-for-cancer-risk-identification-in-south-africa/,0,0,0,0,,0,0,0,0,0,,,,
1121250,"Understanding mental health, cognitive function, and cancer: Using large-scale UK Biobank data to elucidate links and provide normative frameworks",,University of New England,2025-12-15,2025-12,2025,2025Q4,1,1,1,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/understanding-mental-health-cognitive-function-and-cancer-using-large-scale-uk-biobank-data-to-elucidate-links-and-provide-normative-frameworks/,0,0,0,0,,0,0,0,0,0,,,,
1121588,Integrative Analysis of Genotype-Phenotype Data to Identify and Validate Oligonucleotide Therapeutic Targets Across Hepatic and Extrahepatic Tissues,,"OliX Pharmaceuticals, Inc.",2025-12-24,2025-12,2025,2025Q4,1,1,1,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/integrative-analysis-of-genotype-phenotype-data-to-identify-and-validate-oligonucleotide-therapeutic-targets-across-hepatic-and-extrahepatic-tissues/,0,0,0,0,,0,0,0,0,0,,,,
1121934,Redefining Physical Activity Intensity: The Activity Quotient as a Wearable-Derived Predictor of Physical Activity for Reduced Premature Morbidity and Mortality,,Norwegian University of Science and Technology,2025-12-15,2025-12,2025,2025Q4,1,1,1,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/redefining-physical-activity-intensity-the-activity-quotient-as-a-wearable-derived-predictor-of-physical-activity-for-reduced-premature-morbidity-and-mortality/,0,0,0,0,,0,0,0,0,0,,,,
1121952,Interpretable Multimodal AI Models for Disease and Risk Prediction,,National School of Mines Paris,2026-03-10,2026-03,2026,2026Q1,1,1,0,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/interpretable-multimodal-ai-models-for-disease-and-risk-prediction/,0,0,0,0,,0,0,0,0,0,,,,
1123563,"Multi-Omic Predictors of Liver Fibrosis, Inflammation, Steatosis and Cancer Risk in MASLD",,BioPredictive,2026-01-16,2026-01,2026,2026Q1,1,1,0,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/multi-omic-predictors-of-liver-fibrosis-inflammation-steatosis-and-cancer-risk-in-masld/,0,0,0,0,,0,0,0,0,0,,,,
1124550,"Multi-Modal Research for Predictive, Preventive and Precision Health Using UK Biobank Data",,First Affiliated Hospital of Zhengzhou University,2025-12-18,2025-12,2025,2025Q4,1,1,1,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/multi-modal-research-for-predictive-preventive-and-precision-health-using-uk-biobank-data/,0,0,0,0,,0,0,0,0,0,,,,
