period,period_start,frequency,applications_started,post_july2024_period,exact_post_july2024_applications,strict_21_leakage_risk_applications,strict_21_leakage_rate,strict_21_leakage_rate_percent,main_27_leakage_risk_applications,main_27_leakage_rate,main_27_leakage_rate_percent,archived_broad_48_leakage_risk_applications,archived_broad_48_leakage_rate,archived_broad_48_leakage_rate_percent,final_expanded_leakage_risk_applications,final_expanded_leakage_rate,final_expanded_leakage_rate_percent
2018-03,2018-03-01,monthly,20,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2018-04,2018-04-01,monthly,19,0,0,1,0.05263158,5.26316,1,0.05263158,5.26316,1,0.05263158,5.26316,1,0.05263158,5.26316
2018-05,2018-05-01,monthly,14,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2018-06,2018-06-01,monthly,27,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2018-07,2018-07-01,monthly,38,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2018-08,2018-08-01,monthly,25,0,0,0,0.00000000,0.00000,1,0.04000000,4.00000,1,0.04000000,4.00000,1,0.04000000,4.00000
2018-09,2018-09-01,monthly,43,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,1,0.02325581,2.32558,1,0.02325581,2.32558
2018-10,2018-10-01,monthly,40,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2018-11,2018-11-01,monthly,44,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2018-12,2018-12-01,monthly,32,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2019-01,2019-01-01,monthly,40,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2019-02,2019-02-01,monthly,40,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2019-03,2019-03-01,monthly,52,0,0,1,0.01923077,1.92308,1,0.01923077,1.92308,1,0.01923077,1.92308,1,0.01923077,1.92308
2019-04,2019-04-01,monthly,35,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,1,0.02857143,2.85714,1,0.02857143,2.85714
2019-05,2019-05-01,monthly,60,0,0,2,0.03333333,3.33333,2,0.03333333,3.33333,2,0.03333333,3.33333,2,0.03333333,3.33333
2019-06,2019-06-01,monthly,33,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2019-07,2019-07-01,monthly,50,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,1,0.02000000,2.00000,1,0.02000000,2.00000
2019-08,2019-08-01,monthly,27,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2019-09,2019-09-01,monthly,31,0,0,1,0.03225806,3.22581,1,0.03225806,3.22581,2,0.06451613,6.45161,2,0.06451613,6.45161
2019-10,2019-10-01,monthly,43,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2019-11,2019-11-01,monthly,52,0,0,1,0.01923077,1.92308,2,0.03846154,3.84615,2,0.03846154,3.84615,2,0.03846154,3.84615
2019-12,2019-12-01,monthly,29,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2020-01,2020-01-01,monthly,53,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2020-02,2020-02-01,monthly,47,0,0,1,0.02127660,2.12766,1,0.02127660,2.12766,1,0.02127660,2.12766,1,0.02127660,2.12766
2020-03,2020-03-01,monthly,91,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,2,0.02197802,2.19780,2,0.02197802,2.19780
2020-04,2020-04-01,monthly,51,0,0,0,0.00000000,0.00000,1,0.01960784,1.96078,2,0.03921569,3.92157,2,0.03921569,3.92157
2020-05,2020-05-01,monthly,36,0,0,1,0.02777778,2.77778,1,0.02777778,2.77778,1,0.02777778,2.77778,1,0.02777778,2.77778
2020-06,2020-06-01,monthly,69,0,0,1,0.01449275,1.44928,1,0.01449275,1.44928,1,0.01449275,1.44928,1,0.01449275,1.44928
2020-07,2020-07-01,monthly,53,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2020-08,2020-08-01,monthly,49,0,0,1,0.02040816,2.04082,1,0.02040816,2.04082,1,0.02040816,2.04082,1,0.02040816,2.04082
2020-09,2020-09-01,monthly,46,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2020-10,2020-10-01,monthly,29,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2020-11,2020-11-01,monthly,40,0,0,0,0.00000000,0.00000,1,0.02500000,2.50000,2,0.05000000,5.00000,2,0.05000000,5.00000
2020-12,2020-12-01,monthly,5,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2021-01,2021-01-01,monthly,87,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2021-02,2021-02-01,monthly,56,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,1,0.01785714,1.78571,1,0.01785714,1.78571
2021-03,2021-03-01,monthly,78,0,0,1,0.01282051,1.28205,1,0.01282051,1.28205,2,0.02564103,2.56410,2,0.02564103,2.56410
2021-04,2021-04-01,monthly,40,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2021-05,2021-05-01,monthly,40,0,0,1,0.02500000,2.50000,1,0.02500000,2.50000,1,0.02500000,2.50000,1,0.02500000,2.50000
2021-06,2021-06-01,monthly,44,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,1,0.02272727,2.27273,2,0.04545455,4.54545
2021-07,2021-07-01,monthly,25,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2021-08,2021-08-01,monthly,20,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2021-09,2021-09-01,monthly,33,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2021-10,2021-10-01,monthly,46,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2021-11,2021-11-01,monthly,42,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2021-12,2021-12-01,monthly,35,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2022-01,2022-01-01,monthly,36,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2022-02,2022-02-01,monthly,62,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,1,0.01612903,1.61290
2022-03,2022-03-01,monthly,81,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,1,0.01234568,1.23457,1,0.01234568,1.23457
2022-04,2022-04-01,monthly,59,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2022-05,2022-05-01,monthly,66,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2022-06,2022-06-01,monthly,46,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2022-07,2022-07-01,monthly,53,0,0,1,0.01886792,1.88679,1,0.01886792,1.88679,1,0.01886792,1.88679,1,0.01886792,1.88679
2022-08,2022-08-01,monthly,73,0,0,1,0.01369863,1.36986,1,0.01369863,1.36986,2,0.02739726,2.73973,2,0.02739726,2.73973
2022-09,2022-09-01,monthly,94,0,0,1,0.01063830,1.06383,2,0.02127660,2.12766,2,0.02127660,2.12766,2,0.02127660,2.12766
2022-10,2022-10-01,monthly,35,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2022-11,2022-11-01,monthly,74,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2022-12,2022-12-01,monthly,72,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2023-01,2023-01-01,monthly,58,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2023-02,2023-02-01,monthly,49,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2023-03,2023-03-01,monthly,73,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2023-04,2023-04-01,monthly,58,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2023-05,2023-05-01,monthly,63,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2023-06,2023-06-01,monthly,76,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,1,0.01315789,1.31579
2023-07,2023-07-01,monthly,62,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2023-08,2023-08-01,monthly,58,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2023-09,2023-09-01,monthly,57,0,0,1,0.01754386,1.75439,1,0.01754386,1.75439,1,0.01754386,1.75439,1,0.01754386,1.75439
2023-10,2023-10-01,monthly,71,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2023-11,2023-11-01,monthly,80,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2023-12,2023-12-01,monthly,37,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2024-01,2024-01-01,monthly,75,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2024-02,2024-02-01,monthly,51,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2024-03,2024-03-01,monthly,83,0,0,1,0.01204819,1.20482,1,0.01204819,1.20482,1,0.01204819,1.20482,1,0.01204819,1.20482
2024-04,2024-04-01,monthly,72,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
