application_id,application_title,project_start_date,start_month,start_quarter,start_month_number,Post,Time,TimeAfter,Leak52,Leak55
9502,"Assessing whether individual feedback results in improved health outcomes, with a focus on BMI feedback.",2016-04-01,2016-04-01,2016-04-01,4,0,46,0,0,0
9616,The Genetics of Extreme Blood Indices by Whole Genome Sequencing,2016-01-01,2016-01-01,2016-01-01,1,0,43,0,0,0
9628,Multi-institutional 1000G GWAS study to identify heart rate-associated loci and their effects,2015-04-01,2015-04-01,2015-04-01,4,0,34,0,0,0
9637,Genetic epidemiological studies of endometriosis and associated symptomatology,2015-04-01,2015-04-01,2015-04-01,4,0,34,0,0,0
9659,A genetic investigation of pleiotropy using the UK Biobank Data.,2015-05-01,2015-05-01,2015-04-01,5,0,35,0,0,0
9797,Understanding the aetiology of reproductive ageing and disorders,2014-12-01,2014-12-01,2014-10-01,12,0,30,0,0,0
9807,Do the transmissions of maternally-expressed imprinted genes from the mother to the foetus add to the genetic risk of her developing gestational diabetes and pregnancy-induced hypertension?,2016-01-01,2016-01-01,2016-01-01,1,0,43,0,0,0
9905,Using genetics to elucidate the relationship between socioeconomic/behavioural traits and disease,2014-12-01,2014-12-01,2014-10-01,12,0,30,0,0,0
9914,Determining the Outcomes of People with Liver Disease,2015-11-01,2015-11-01,2015-10-01,11,0,41,0,0,0
9922,"Advancing understanding, prediction, prevention and treatment of coronary heart disease through application of genetics to UK Biobank",2015-02-01,2015-02-01,2015-01-01,2,0,32,0,0,0
9946,Associations between air pollution and respiratory health in large European cohorts,2014-12-31,2014-12-01,2014-10-01,12,0,30,0,0,0
9979,Genetics of osteoarthritis,2015-09-01,2015-09-01,2015-07-01,9,0,39,0,0,0
10026,Physical activity and prognosis in the general population: data from the UK Biobank,2014-12-01,2014-12-01,2014-10-01,12,0,30,0,0,0
10035,Risk factors and associated causal pathways linked to blood pressure,2017-03-16,2017-03-01,2017-01-01,3,0,57,0,1,1
10061,Genetically elevated risk factors and chronic diseases: comparison and combination of associations in the China Kadoorie Biobank with those in UK Biobank,2014-12-15,2014-12-01,2014-10-01,12,0,30,0,0,0
10074,Investigation of the genetic burden of eczema and the genetic overlap between eczema and related conditions,2015-10-01,2015-10-01,2015-10-01,10,0,40,0,0,0
10088,Serum lipid and glucose measurements and risk of prostate cancer,2017-03-01,2017-03-01,2017-01-01,3,0,57,0,0,0
10163,"The genetic epidemiology of mental illness, cognition and related behavioural traits",2015-04-01,2015-04-01,2015-04-01,4,0,34,0,0,0
10171,"Nutritional and lifestyle influences on neurocognitive and mental health: genetic epidemiological study on causal effects, mediating pathways and gene-environment interaction",2016-06-01,2016-06-01,2016-04-01,6,0,48,0,0,0
10205,Cardiometabolic trait genetics,2015-10-01,2015-10-01,2015-10-01,10,0,40,0,0,0
10214,"Vitamin D, genetics, and the risk of schizophrenia",2015-09-01,2015-09-01,2015-07-01,9,0,39,0,0,0
10279,The relationship of cognitive function and negative emotions with morbidity and mortality: an aetiological investigation,2015-04-01,2015-04-01,2015-04-01,4,0,34,0,1,1
10438,Application of fast mixed model association and principal component analysis methods,2015-05-01,2015-05-01,2015-04-01,5,0,35,0,0,0
10536,Genotype-Phenotype Correlations of Anterior Segment Eye Diseases,2016-01-01,2016-01-01,2016-01-01,1,0,43,0,0,0
10570,"Exploring saturation in food outlet access in Greater London, and examining associations with diet quality and body weight in a large sample of adults.",2014-12-06,2014-12-01,2014-10-01,12,0,30,0,0,0
10589,Spousal genetic and phenotypic similarity,2015-10-01,2015-10-01,2015-10-01,10,0,40,0,0,0
10625,Determining the effect of immune-mediated disease (IMD) genetic risk variants on secondary health outcomes and their interaction with environmental factors,2015-04-01,2015-04-01,2015-04-01,4,0,34,0,0,0
10639,Genetic overlap of Motor Neurone Disease and neuropsychiatric disorders,2017-03-29,2017-03-01,2017-01-01,3,0,57,0,0,0
10775,Phenome-wide association study (PheWAS) for the investigation of the associations between serum vitamin D levels and multiple health outcomes,2016-01-01,2016-01-01,2016-01-01,1,0,43,0,0,0
10813,"Cognitive function, physical activity and age: analysis of the UK Biobank",2015-11-02,2015-11-01,2015-10-01,11,0,41,0,0,0
10948,The genetics of carpal tunnel syndrome,2014-12-01,2014-12-01,2014-10-01,12,0,30,0,0,0
10953,Mediators of the association between adiposity and cardiometabolic health,2015-09-01,2015-09-01,2015-07-01,9,0,39,0,0,0
10995,Implementing a novel accelerometer-based method to quantify the association between habitual physical activity beneficial to bone and direct measures of bone health in pre and postmenopausal women,2015-10-01,2015-10-01,2015-10-01,10,0,40,0,0,0
11036,Identifying traits associated with parkinsonism and dementia hits from genome-wide association studies,2017-07-01,2017-07-01,2017-07-01,7,0,61,0,0,0
11058,A cross-sectional exploration of the factors contributing to the development of sarcopenia,2015-05-11,2015-05-01,2015-04-01,5,0,35,0,0,0
11091,A study to investigate the risk factors for developing Ductal Carcinoma in Situ (DCIS) in women from the UK Biobank,2015-04-01,2015-04-01,2015-04-01,4,0,34,0,0,0
