start_month,n_applications,observed_events,observed_rate,fitted_rate,outcome,outcome_label
2019-12-01,29,0,0.0,0.008018594605306824,Leak55,Broad 55 attribution outcome
2020-01-01,53,0,0.0,0.0,Leak55,Broad 55 attribution outcome
2020-02-01,47,2,0.0425531914893617,0.014570698645193234,Leak55,Broad 55 attribution outcome
2020-03-01,91,2,0.02197802197802198,0.02001038684016264,Leak55,Broad 55 attribution outcome
2020-04-01,51,2,0.0392156862745098,0.014717417544719079,Leak55,Broad 55 attribution outcome
2020-05-01,36,1,0.027777777777777776,0.01410620128254274,Leak55,Broad 55 attribution outcome
2020-06-01,69,1,0.014492753623188406,0.010684618942283482,Leak55,Broad 55 attribution outcome
2020-07-01,53,0,0.0,0.007446031143742371,Leak55,Broad 55 attribution outcome
2020-08-01,49,1,0.02040816326530612,0.020082518229686902,Leak55,Broad 55 attribution outcome
2020-09-01,46,0,0.0,0.017059680876868717,Leak55,Broad 55 attribution outcome
2020-10-01,29,0,0.0,0.005335890395880849,Leak55,Broad 55 attribution outcome
2020-11-01,40,2,0.05,0.012689709948529356,Leak55,Broad 55 attribution outcome
2020-12-01,5,0,0.0,0.006943918979091001,Leak55,Broad 55 attribution outcome
2021-01-01,87,0,0.0,0.0,Leak55,Broad 55 attribution outcome
2021-02-01,56,1,0.017857142857142856,0.012617890770286853,Leak55,Broad 55 attribution outcome
2021-03-01,78,2,0.02564102564102564,0.017328535958957007,Leak55,Broad 55 attribution outcome
2021-04-01,40,0,0.0,0.012744945971498108,Leak55,Broad 55 attribution outcome
2021-05-01,40,1,0.025,0.012215646709948399,Leak55,Broad 55 attribution outcome
2021-06-01,44,2,0.045454545454545456,0.009252634895468513,Leak55,Broad 55 attribution outcome
2021-07-01,25,0,0.0,0.006448092156163679,Leak55,Broad 55 attribution outcome
2021-08-01,20,0,0.0,0.017391000087568106,Leak55,Broad 55 attribution outcome
2021-09-01,33,0,0.0,0.014773292284875617,Leak55,Broad 55 attribution outcome
2021-10-01,46,0,0.0,0.004620758675813943,Leak55,Broad 55 attribution outcome
2021-11-01,42,0,0.0,0.010988997709453496,Leak55,Broad 55 attribution outcome
2021-12-01,35,0,0.0,0.006013274540187988,Leak55,Broad 55 attribution outcome
2022-01-01,36,0,0.0,0.0,Leak55,Broad 55 attribution outcome
2022-02-01,62,1,0.016129032258064516,0.010926803948650232,Leak55,Broad 55 attribution outcome
2022-03-01,81,1,0.012345679012345678,0.015006114618343183,Leak55,Broad 55 attribution outcome
2022-04-01,59,0,0.0,0.011036830838212537,Leak55,Broad 55 attribution outcome
2022-05-01,66,0,0.0,0.010578469820003513,Leak55,Broad 55 attribution outcome
2022-06-01,46,0,0.0,0.008012569561095181,Leak55,Broad 55 attribution outcome
2022-07-01,53,1,0.018867924528301886,0.005583899885957569,Leak55,Broad 55 attribution outcome
2022-08-01,73,2,0.0273972602739726,0.01506020712077347,Leak55,Broad 55 attribution outcome
2022-09-01,94,2,0.02127659574468085,0.012793332214689387,Leak55,Broad 55 attribution outcome
2022-10-01,35,0,0.0,0.004001471011584597,Leak55,Broad 55 attribution outcome
2022-11-01,74,0,0.0,0.009516219925292243,Leak55,Broad 55 attribution outcome
2022-12-01,72,0,0.0,0.005207357805376715,Leak55,Broad 55 attribution outcome
2023-01-01,58,0,0.0,0.0,Leak55,Broad 55 attribution outcome
2023-02-01,49,0,0.0,0.009462361555181221,Leak55,Broad 55 attribution outcome
2023-03-01,73,0,0.0,0.012994951014454114,Leak55,Broad 55 attribution outcome
2023-04-01,58,0,0.0,0.009557642317490418,Leak55,Broad 55 attribution outcome
2023-05-01,63,0,0.0,0.009160712190668606,Leak55,Broad 55 attribution outcome
2023-06-01,76,1,0.013157894736842105,0.006938701429020142,Leak55,Broad 55 attribution outcome
2023-07-01,62,0,0.0,0.0048355292048039905,Leak55,Broad 55 attribution outcome
2023-08-01,58,0,0.0,0.013041793880659543,Leak55,Broad 55 attribution outcome
