app_id,period,period_start,period_end,publication_count,any_publication,project_start_date,p1_existing_project_sample,original_stage3_classification,control_layer,regression_group_CONTROL_C0,regression_group_CONTROL_C01,regression_group_CONTROL_C03,regression_group_CONTROL_C05
3593,pre24,2022-07-05,2024-07-04,3,1,2014-09-08,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
3593,post24,2024-07-05,2026-07-04,7,1,2014-09-08,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
3913,pre24,2022-07-05,2024-07-04,0,0,2016-01-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
3913,post24,2024-07-05,2026-07-04,0,0,2016-01-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
3932,pre24,2022-07-05,2024-07-04,0,0,2013-07-11,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
3932,post24,2024-07-05,2026-07-04,0,0,2013-07-11,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
3966,pre24,2022-07-05,2024-07-04,0,0,2013-09-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
3966,post24,2024-07-05,2026-07-04,0,0,2013-09-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
4047,pre24,2022-07-05,2024-07-04,0,0,2014-06-03,1,UNCLEAR,,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear
4047,post24,2024-07-05,2026-07-04,0,0,2014-06-03,1,UNCLEAR,,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear
4236,pre24,2022-07-05,2024-07-04,1,1,2018-05-29,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
4236,post24,2024-07-05,2026-07-04,0,0,2018-05-29,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
4364,pre24,2022-07-05,2024-07-04,0,0,2014-01-20,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
4364,post24,2024-07-05,2026-07-04,0,0,2014-01-20,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
4372,pre24,2022-07-05,2024-07-04,0,0,2014-03-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
4372,post24,2024-07-05,2026-07-04,0,0,2014-03-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
4408,pre24,2022-07-05,2024-07-04,1,1,2015-06-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
4408,post24,2024-07-05,2026-07-04,0,0,2015-06-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
4477,pre24,2022-07-05,2024-07-04,0,0,2016-06-01,1,MIXED,C1,excluded_mixed,control_overlap_original_mixed,control_overlap_original_mixed,control_overlap_original_mixed
4477,post24,2024-07-05,2026-07-04,0,0,2016-06-01,1,MIXED,C1,excluded_mixed,control_overlap_original_mixed,control_overlap_original_mixed,control_overlap_original_mixed
4483,pre24,2022-07-05,2024-07-04,0,0,2014-05-07,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
4483,post24,2024-07-05,2026-07-04,0,0,2014-05-07,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
4580,pre24,2022-07-05,2024-07-04,0,0,2015-07-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
4580,post24,2024-07-05,2026-07-04,0,0,2015-07-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
4669,pre24,2022-07-05,2024-07-04,0,0,2013-12-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
4669,post24,2024-07-05,2026-07-04,0,0,2013-12-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
4800,pre24,2022-07-05,2024-07-04,0,0,2015-07-13,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
4800,post24,2024-07-05,2026-07-04,0,0,2015-07-13,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
4816,pre24,2022-07-05,2024-07-04,0,0,2018-04-24,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
4816,post24,2024-07-05,2026-07-04,0,0,2018-04-24,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
4844,pre24,2022-07-05,2024-07-04,7,1,2014-09-27,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
4844,post24,2024-07-05,2026-07-04,8,1,2014-09-27,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
4892,pre24,2022-07-05,2024-07-04,2,1,2015-01-12,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
4892,post24,2024-07-05,2026-07-04,0,0,2015-01-12,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
4939,pre24,2022-07-05,2024-07-04,0,0,2015-05-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
4939,post24,2024-07-05,2026-07-04,0,0,2015-05-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
5122,pre24,2022-07-05,2024-07-04,0,0,2013-10-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
5122,post24,2024-07-05,2026-07-04,0,0,2013-10-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
5167,pre24,2022-07-05,2024-07-04,1,1,2018-07-05,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
5167,post24,2024-07-05,2026-07-04,1,1,2018-07-05,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
5179,pre24,2022-07-05,2024-07-04,0,0,2014-01-06,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
5179,post24,2024-07-05,2026-07-04,0,0,2014-01-06,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
5180,pre24,2022-07-05,2024-07-04,0,0,2014-07-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
5180,post24,2024-07-05,2026-07-04,0,0,2014-07-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
5216,pre24,2022-07-05,2024-07-04,0,0,2015-12-14,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
5216,post24,2024-07-05,2026-07-04,0,0,2015-12-14,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
5237,pre24,2022-07-05,2024-07-04,1,1,2015-02-27,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
5237,post24,2024-07-05,2026-07-04,0,0,2015-02-27,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
5339,pre24,2022-07-05,2024-07-04,0,0,2014-09-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
5339,post24,2024-07-05,2026-07-04,0,0,2014-09-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
5445,pre24,2022-07-05,2024-07-04,0,0,2016-02-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
5445,post24,2024-07-05,2026-07-04,0,0,2016-02-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
5608,pre24,2022-07-05,2024-07-04,0,0,2013-12-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
5608,post24,2024-07-05,2026-07-04,0,0,2013-12-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
5791,pre24,2022-07-05,2024-07-04,0,0,2014-09-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
5791,post24,2024-07-05,2026-07-04,0,0,2014-09-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
5855,pre24,2022-07-05,2024-07-04,0,0,2015-08-31,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
